id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,credit_limit_rupiah,total_spending,transaction_count,kategori,overbudget
4524,825,Visa,Debit,4344676511950444,12/2022,623,YES,2,24295.0,09/2002,2008,No,388720000.0,11017760.0,7.0,Boros,True
2731,825,Visa,Debit,4956965974959986,12/2020,393,YES,2,21968.0,04/2014,2014,No,351488000.0,11017760.0,7.0,Boros,True
3701,825,Visa,Debit,4582313478255491,02/2024,719,YES,2,46414.0,07/2003,2004,No,742624000.0,11017760.0,7.0,Boros,True
42,825,Visa,Credit,4879494103069057,08/2024,693,NO,1,12400.0,01/2003,2012,No,198400000.0,11017760.0,7.0,Boros,True
4659,825,Mastercard,Debit (Prepaid),5722874738736011,03/2009,75,YES,1,28.0,09/2008,2009,No,448000.0,11017760.0,7.0,Boros,True
4537,1746,Visa,Credit,4404898874682993,09/2003,736,YES,1,27500.0,09/2003,2012,No,440000000.0,8148320.0,8.0,Boros,True
1278,1746,Visa,Debit,4001482973848631,07/2022,972,YES,2,28508.0,02/2011,2011,No,456128000.0,8148320.0,8.0,Boros,True
3687,1746,Mastercard,Debit,5627220683410948,06/2022,48,YES,2,9022.0,07/2003,2015,No,144352000.0,8148320.0,8.0,Boros,True
3465,1746,Mastercard,Debit (Prepaid),5711382187309326,11/2020,722,YES,2,54.0,06/2010,2015,No,864000.0,8148320.0,8.0,Boros,True
3754,1746,Mastercard,Debit (Prepaid),5766121508358701,02/2023,908,YES,1,99.0,07/2006,2012,No,1584000.0,8148320.0,8.0,Boros,True
5144,1718,Mastercard,Debit,5495199163052054,03/2022,677,YES,2,31599.0,10/2009,2009,No,505584000.0,4649120.0,19.0,Normal,False
2029,1718,Mastercard,Debit,5804499644308599,07/2023,258,NO,2,27480.0,03/2002,2008,No,439680000.0,4649120.0,19.0,Normal,False
2379,1718,Mastercard,Debit,5766352389579834,02/2020,992,YES,1,26743.0,03/2019,2019,No,427888000.0,4649120.0,19.0,Normal,False
2732,1718,Visa,Debit,4242015583697294,06/2020,928,YES,1,31463.0,04/2014,2014,No,503408000.0,4649120.0,19.0,Normal,False
4706,1718,Mastercard,Debit,5191030913182493,06/2024,360,YES,1,16055.0,09/2009,2009,No,256880000.0,4649120.0,19.0,Normal,False
